observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,cameraSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments
waveUrta_2025_01_27__19_03_06_HDR0_0_Mothbot_yolo11m_4500_imgsz1600_b1_2024-01-18.pt.jpg,Panama_Hoya_1508m_waveUrta_2025-01-27,waveUrta_2025_01_27__19_03_06_HDR0_0_Mothbot_yolo11m_4500_imgsz1600_b1_2024-01-18.pt,waveUrta_2025_01_27__19_03_06_HDR0.jpg,2025-01-27T00:00:00-05:00,2025-01-29T23:59:59-05:00,media,machine_observation,,Diabrotica,,,,,,,,,,,0.034170,0.046083,human,HS,,,,
waveUrta_2025_01_27__19_04_06_HDR0_0_Mothbot_yolo11m_4500_imgsz1600_b1_2024-01-18.pt.jpg,Panama_Hoya_1508m_waveUrta_2025-01-27,waveUrta_2025_01_27__19_04_06_HDR0_0_Mothbot_yolo11m_4500_imgsz1600_b1_2024-01-18.pt,waveUrta_2025_01_27__19_04_06_HDR0.jpg,2025-01-27T00:00:00-05:00,2025-01-29T23:59:59-05:00,media,machine_observation,,trichops,,,,,,,,,,,0.050173,0.082517,human,HS,,,,
waveUrta_2025_01_27__19_04_06_HDR0_1_Mothbot_yolo11m_4500_imgsz1600_b1_2024-01-18.pt.jpg,Panama_Hoya_1508m_waveUrta_2025-01-27,waveUrta_2025_01_27__19_04_06_HDR0_1_Mothbot_yolo11m_4500_imgsz1600_b1_2024-01-18.pt,waveUrta_2025_01_27__19_04_06_HDR0.jpg,2025-01-27T00:00:00-05:00,2025-01-29T23:59:59-05:00,media,machine_observation,,Diptera,,,,,,,,,,,0.011462,0.018721,human,HS,,,,
waveUrta_2025_01_27__19_05_05_HDR0_0_Mothbot_yolo11m_4500_imgsz1600_b1_2024-01-18.pt.jpg,Panama_Hoya_1508m_waveUrta_2025-01-27,waveUrta_2025_01_27__19_05_05_HDR0_0_Mothbot_yolo11m_4500_imgsz1600_b1_2024-01-18.pt,waveUrta_2025_01_27__19_05_05_HDR0.jpg,2025-01-27T00:00:00-05:00,2025-01-29T23:59:59-05:00,media,machine_observation,,Hemiptera,,,,,,,,,,,0.012976,0.023329,human,HS,,,,
waveUrta_2025_01_27__19_05_05_HDR0_1_Mothbot_yolo11m_4500_imgsz1600_b1_2024-01-18.pt.jpg,Panama_Hoya_1508m_waveUrta_2025-01-27,waveUrta_2025_01_27__19_05_05_HDR0_1_Mothbot_yolo11m_4500_imgsz1600_b1_2024-01-18.pt,waveUrta_2025_01_27__19_05_05_HDR0.jpg,2025-01-27T00:00:00-05:00,2025-01-29T23:59:59-05:00,media,machine_observation,,pusillidactylus,,,,,,,,,,,0.052444,0.081221,human,HS,,,,
waveUrta_2025_01_27__19_05_05_HDR0_2_Mothbot_yolo11m_4500_imgsz1600_b1_2024-01-18.pt.jpg,Panama_Hoya_1508m_waveUrta_2025-01-27,waveUrta_2025_01_27__19_05_05_HDR0_2_Mothbot_yolo11m_4500_imgsz1600_b1_2024-01-18.pt,waveUrta_2025_01_27__19_05_05_HDR0.jpg,2025-01-27T00:00:00-05:00,2025-01-29T23:59:59-05:00,media,machine_observation,,Diabrotica,,,,,,,,,,,0.027033,0.036578,human,HS,,,,
waveUrta_2025_01_27__19_05_05_HDR0_3_Mothbot_yolo11m_4500_imgsz1600_b1_2024-01-18.pt.jpg,Panama_Hoya_1508m_waveUrta_2025-01-27,waveUrta_2025_01_27__19_05_05_HDR0_3_Mothbot_yolo11m_4500_imgsz1600_b1_2024-01-18.pt,waveUrta_2025_01_27__19_05_05_HDR0.jpg,2025-01-27T00:00:00-05:00,2025-01-29T23:59:59-05:00,media,machine_observation,,Diptera,,,,,,,,,,,0.008218,0.013681,human,HS,,,,
waveUrta_2025_01_27__19_06_05_HDR0_0_Mothbot_yolo11m_4500_imgsz1600_b1_2024-01-18.pt.jpg,Panama_Hoya_1508m_waveUrta_2025-01-27,waveUrta_2025_01_27__19_06_05_HDR0_0_Mothbot_yolo11m_4500_imgsz1600_b1_2024-01-18.pt,waveUrta_2025_01_27__19_06_05_HDR0.jpg,2025-01-27T00:00:00-05:00,2025-01-29T23:59:59-05:00,media,machine_observation,,pusillidactylus,,,,,,,,,,,0.052876,0.082949,human,HS,,,,
waveUrta_2025_01_27__19_06_05_HDR0_1_Mothbot_yolo11m_4500_imgsz1600_b1_2024-01-18.pt.jpg,Panama_Hoya_1508m_waveUrta_2025-01-27,waveUrta_2025_01_27__19_06_05_HDR0_1_Mothbot_yolo11m_4500_imgsz1600_b1_2024-01-18.pt,waveUrta_2025_01_27__19_06_05_HDR0.jpg,2025-01-27T00:00:00-05:00,2025-01-29T23:59:59-05:00,media,machine_observation,,Diabrotica,,,,,,,,,,,0.024654,0.037730,human,HS,,,,
waveUrta_2025_01_27__19_06_05_HDR0_2_Mothbot_yolo11m_4500_imgsz1600_b1_2024-01-18.pt.jpg,Panama_Hoya_1508m_waveUrta_2025-01-27,waveUrta_2025_01_27__19_06_05_HDR0_2_Mothbot_yolo11m_4500_imgsz1600_b1_2024-01-18.pt,waveUrta_2025_01_27__19_06_05_HDR0.jpg,2025-01-27T00:00:00-05:00,2025-01-29T23:59:59-05:00,media,machine_observation,,trichops,,,,,,,,,,,0.021843,0.035426,human,HS,,,,
